elo_diff,form_diff,is_neutral,tournament_weight,avg_goals_diff,defense_diff,is_major_tournament,h2h_home_wins,outcome,date,home_team,away_team
-12.070000000000164,-3,1,0.5,-0.5,-0.5,0,0,1,2010-05-30,Paraguay,Ivory Coast
32.40000000000009,7,0,0.5,0.25,1.75,0,0,2,2010-05-30,Chile,Israel
76.75,10,0,0.5,2.0,0.8,0,0,2,2010-05-30,Chile,Northern Ireland
-60.08999999999992,-8,1,0.5,0.2857142857142858,-0.8571428571428572,0,0,2,2010-05-30,Belarus,South Korea
0.0,-1,0,0.5,,,0,0,1,2010-05-30,Grenada,Martinique
37.73000000000002,8,0,0.5,-0.1428571428571428,0.5714285714285714,0,0,2,2010-05-31,South Africa,Guatemala
16.0,0,0,1.0,,,1,0,0,2010-05-31,Gozo,Padania
0.0,0,1,1.0,,,1,0,2,2010-05-31,Iraqi Kurdistan,Two Sicilies
32.0,3,1,1.0,,,1,0,0,2010-06-01,Provence,Two Sicilies
15.259999999999991,0,1,1.0,3.0,0.0,1,0,0,2010-06-01,Occitania,Padania
16.0,0,0,0.5,-0.5,-0.5,0,0,0,2010-06-01,Switzerland,Costa Rica
30.289999999999964,-3,0,0.5,1.0,0.25,0,0,2,2010-06-01,Netherlands,Ghana
29.069999999999936,4,1,0.5,0.5,1.5,0,0,2,2010-06-01,Australia,Denmark
16.15000000000009,0,0,0.5,0.0,1.0,0,0,2,2010-06-01,Portugal,Cameroon
-30.660000000000082,0,0,0.5,0.0,-1.0,0,0,0,2010-06-02,Zimbabwe,Brazil
17.470000000000027,0,1,1.0,1.0,0.0,1,0,2,2010-06-02,Iraqi Kurdistan,Provence
-16.039999999999964,-3,0,1.0,,,1,0,0,2010-06-02,Gozo,Occitania
-63.200000000000045,-6,1,0.5,-3.0,-1.0,0,0,0,2010-06-02,Romania,North Macedonia
-29.12999999999988,-4,1,0.5,,,0,0,1,2010-06-02,Serbia,Poland
-15.700000000000045,-4,1,0.5,0.0,0.0,0,0,0,2010-06-02,Greece,Paraguay
-0.6600000000000819,0,0,0.5,,,0,0,0,2010-06-02,Norway,Ukraine
-13.970000000000027,-3,0,0.5,0.5,-0.6666666666666667,0,0,0,2010-06-02,Belarus,Sweden
29.0,3,1,0.5,-0.6666666666666667,-0.33333333333333326,0,0,1,2010-06-02,Azerbaijan,Honduras
45.73000000000002,6,0,0.5,1.0,4.0,0,0,2,2010-06-02,Albania,Andorra
15.649999999999864,3,0,0.5,-0.5,3.5,0,0,2,2010-06-03,Germany,Bosnia and Herzegovina
-62.0,-8,1,0.5,-1.0,2.5,0,0,0,2010-06-03,Italy,Mexico
-23.84999999999991,-6,1,0.5,1.5,-0.875,0,0,2,2010-06-03,Spain,South Korea
-15.329999999999927,-3,0,1.0,-2.0,-1.5,1,0,2,2010-06-04,Gozo,Provence
15.970000000000027,3,1,1.0,0.0,-1.0,1,0,2,2010-06-04,Padania,Two Sicilies
16.6400000000001,0,1,1.0,-1.5,-1.5,1,0,2,2010-06-04,Iraqi Kurdistan,Occitania
0.0,0,0,0.5,,,0,0,1,2010-06-04,Sudan,Palestine
0.7400000000000091,0,0,0.5,1.0,0.0,0,0,1,2010-06-04,Luxembourg,Faroe Islands
-27.72999999999979,-2,1,0.5,-0.7916666666666667,-0.5833333333333334,0,0,0,2010-06-04,Japan,Ivory Coast
-28.170000000000073,-6,1,0.5,0.0,-0.75,0,0,0,2010-06-04,France,China
27.039999999999964,0,0,0.5,3.5,1.0,0,0,2,2010-06-04,Slovenia,New Zealand
81.09999999999991,10,0,0.5,1.75,1.125,0,0,2,2010-06-05,South Africa,Denmark
13.720000000000027,0,1,1.0,1.5,-0.8333333333333333,1,0,0,2010-06-05,Iraqi Kurdistan,Padania
13.129999999999882,3,1,1.0,1.8333333333333335,1.0,1,0,2,2010-06-05,Occitania,Two Sicilies
